Year,Statistic Label,Counties & Dublin Postal Districts,Sector,UNIT,VALUE
2015,Metered Electricity Consumption,All Counties and Dublin Postal Districts,All sectors,Gigawatt Hours,24600
2015,Metered Electricity Consumption,All Counties and Dublin Postal Districts,10 Residential,Gigawatt Hours,8370
2015,Metered Electricity Consumption,All Counties and Dublin Postal Districts,20 Non-residential,Gigawatt Hours,16230
2015,Metered Electricity Consumption,Not coded,All sectors,Gigawatt Hours,2943
2015,Metered Electricity Consumption,Not coded,10 Residential,Gigawatt Hours,2
2015,Metered Electricity Consumption,Not coded,20 Non-residential,Gigawatt Hours,2941
2015,Metered Electricity Consumption,Co. Clare,All sectors,Gigawatt Hours,526
2015,Metered Electricity Consumption,Co. Clare,10 Residential,Gigawatt Hours,205
2015,Metered Electricity Consumption,Co. Clare,20 Non-residential,Gigawatt Hours,321
2015,Metered Electricity Consumption,Co. Cork,All sectors,Gigawatt Hours,2809
2015,Metered Electricity Consumption,Co. Cork,10 Residential,Gigawatt Hours,1001
2015,Metered Electricity Consumption,Co. Cork,20 Non-residential,Gigawatt Hours,1808
2015,Metered Electricity Consumption,Co. Cavan,All sectors,Gigawatt Hours,464
2015,Metered Electricity Consumption,Co. Cavan,10 Residential,Gigawatt Hours,138
2015,Metered Electricity Consumption,Co. Cavan,20 Non-residential,Gigawatt Hours,326
2015,Metered Electricity Consumption,Co. Carlow,All sectors,Gigawatt Hours,247
2015,Metered Electricity Consumption,Co. Carlow,10 Residential,Gigawatt Hours,107
2015,Metered Electricity Consumption,Co. Carlow,20 Non-residential,Gigawatt Hours,140
2015,Metered Electricity Consumption,Co. Donegal,All sectors,Gigawatt Hours,606
2015,Metered Electricity Consumption,Co. Donegal,10 Residential,Gigawatt Hours,273
2015,Metered Electricity Consumption,Co. Donegal,20 Non-residential,Gigawatt Hours,332
2015,Metered Electricity Consumption,Dublin 1,All sectors,Gigawatt Hours,387
2015,Metered Electricity Consumption,Dublin 1,10 Residential,Gigawatt Hours,68
2015,Metered Electricity Consumption,Dublin 1,20 Non-residential,Gigawatt Hours,319
2015,Metered Electricity Consumption,Dublin 2,All sectors,Gigawatt Hours,524
2015,Metered Electricity Consumption,Dublin 2,10 Residential,Gigawatt Hours,34
2015,Metered Electricity Consumption,Dublin 2,20 Non-residential,Gigawatt Hours,491
2015,Metered Electricity Consumption,Dublin 3,All sectors,Gigawatt Hours,161
2015,Metered Electricity Consumption,Dublin 3,10 Residential,Gigawatt Hours,74
2015,Metered Electricity Consumption,Dublin 3,20 Non-residential,Gigawatt Hours,87
2015,Metered Electricity Consumption,Dublin 4,All sectors,Gigawatt Hours,356
2015,Metered Electricity Consumption,Dublin 4,10 Residential,Gigawatt Hours,84
2015,Metered Electricity Consumption,Dublin 4,20 Non-residential,Gigawatt Hours,273
2015,Metered Electricity Consumption,Dublin 5,All sectors,Gigawatt Hours,139
2015,Metered Electricity Consumption,Dublin 5,10 Residential,Gigawatt Hours,76
2015,Metered Electricity Consumption,Dublin 5,20 Non-residential,Gigawatt Hours,63
